,title,poster_path,imdb_id,vote_average
94,Seven Samurai,/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg,tt0047478,8.452
95,Toy Story,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,tt0114709,7.971
96,Kill Bill: Vol. 1,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,tt0266697,7.97
97,Hidden Figures,/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,tt4846340,8.058
98,Up,/vpbaStTMt8qqXaEgnOR2EE4DNJk.jpg,tt1049413,7.949
99,Harry Potter and the Philosopher's Stone,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,tt0241527,7.916
100,Catch Me If You Can,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,tt0264464,7.971
101,Miracle in Cell No. 7,/bOth4QmNyEkalwahfPCfiXjNh1r.jpg,tt10431500,8.277
102,Cruella,/wToO8opxkGwKgSfJ1JK8tGvkG6U.jpg,tt3228774,8.055
103,American Beauty,/wby9315QzVKdW9BonAefg8jGTTb.jpg,tt0169547,8.0
104,Guardians of the Galaxy,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,tt2015381,7.906
105,Pride & Prejudice,/sGjIvtVvTlWnia2zfJfHz81pZ9Q.jpg,tt0414387,8.083
106,Vertigo,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,tt0052357,8.18
107,Jojo Rabbit,/7GsM4mtM0worCtIVeiQt28HieeN.jpg,tt2584384,8.042
108,Once Upon a Time in the West,/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,tt0064116,8.294
109,1917,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,tt8579674,7.99
110,Requiem for a Dream,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,tt0180093,8.027
111,Inside Out,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,tt2096673,7.922
112,"Lock, Stock and Two Smoking Barrels",/8kSerJrhrJWKLk1LViesGcnrUPE.jpg,tt0120735,8.126
113,Room,/dIxoYFcj6EqD5KScuU8lWCftnvH.jpg,tt3170832,8.033
114,Titanic,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,tt0120338,7.9
115,Jurassic Park,/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg,tt0107290,7.941
116,My Neighbor Totoro,/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg,tt0096283,8.073
117,Gran Torino,/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,tt1205489,7.994
118,Casablanca,/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,tt0034583,8.171
119,It's a Wonderful Life,/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg,tt0038650,8.26
120,Trainspotting,/bhY62Dw8iW54DIhxPQerbuB9DOP.jpg,tt0117951,8.0
121,Lion,/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg,tt3741834,8.083
122,Oppenheimer,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,tt15398776,8.256
123,There Will Be Blood,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,tt0469494,8.085
124,Blade Runner,/fwhLegA6z40W0DIy6EGXhzDzlOP.jpg,tt0083658,7.931
125,Gone Girl,/qymaJhucquUwjpb8oiqynMeXnID.jpg,tt2267998,7.892
126,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,/gHm96BRW4GoI339rF1vYoYTB6Qe.jpg,tt0057012,8.129
127,Modern Times,/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg,tt0027977,8.293
128,La La Land,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,tt3783958,7.897
129,The Sixth Sense,/4AfSDjjCy6T5LA1TMz0Lh2HlpRh.jpg,tt0167404,7.944
130,12 Years a Slave,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,tt2024544,7.945
131,No Country for Old Men,/bj1v6YKF8yHqA489VFfnQvOJpnc.jpg,tt0477348,7.933
132,Raiders of the Lost Ark,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,tt0082971,7.924
133,Return of the Jedi,/jQYlydvHm3kUix1f8prMucrplhm.jpg,tt0086190,7.892
134,The Great Dictator,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,tt0032553,8.332
135,The Thing,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,tt0084787,8.045
136,Klaus,/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,tt4729430,8.25
137,V for Vendetta,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,tt0434409,7.897
